"German Word","Article (der/die/das)","Part of Speech","English Translation","German Example Sentence","English Example Sentence","Category","Difficulty"
"nichts","","pron","nothing","Ich habe nichts gegessen.","I have eaten nothing.","Useful Expressions","A1.3"
"jemand","","pron","someone","Jemand hat angerufen.","Someone called.","Useful Expressions","A1.3"
"niemand","","pron","nobody","Niemand ist zu Hause.","Nobody is at home.","Useful Expressions","A1.3"
"hier","","adv","here","Ich bin hier.","I am here.","Useful Expressions","A1.1"
"dort","","adv","there","Er wohnt dort.","He lives there.","Useful Expressions","A1.1"
"dorthin","","adv","to there","Ich gehe dorthin.","I'm going there.","Useful Expressions","A1.3"
"dorther","","adv","from there","Ich komme dorther.","I come from there.","Useful Expressions","A1.3"
"hin","","adv","towards (there)","Gehen wir hin!","Let's go there!","Useful Expressions","A1.3"
"her","","adv","from (here)","Komm her!","Come here!","Useful Expressions","A1.3"
"oben","","adv","above / upstairs","Die Wohnung ist oben.","The flat is upstairs.","Useful Expressions","A1.3"
"unten","","adv","below / downstairs","Der Keller ist unten.","The cellar is downstairs.","Useful Expressions","A1.3"
"also","","conj/adv","so / therefore","Wir haben viel Platz, also kannst du bleiben.","We have a lot of space, so you can stay.","Useful Expressions","A1.3"
"dann","","adv","then","Zuerst esse ich, dann gehe ich.","First I eat, then I go.","Useful Expressions","A1.3"
"zuerst","","adv","first / at first","Zuerst lernen wir die Wörter.","First we learn the words.","Useful Expressions","A1.3"
"danach","","adv","afterwards / then","Danach gehen wir einkaufen.","Afterwards we go shopping.","Useful Expressions","A1.3"
"zusammen","","adv","together","Wir essen zusammen.","We eat together.","Useful Expressions","A1.3"
"allein","","adv/adj","alone","Er arbeitet gern allein.","He likes to work alone.","Useful Expressions","A1.3"
"gern/gerne","","adv","gladly / to like doing","Ich trinke gern Kaffee.","I like drinking coffee.","Useful Expressions","A1.2"
"leider","","adv","unfortunately","Ich kann leider nicht kommen.","Unfortunately I cannot come.","Useful Expressions","A1.3"
"vielleicht","","adv","perhaps / maybe","Vielleicht komme ich morgen.","Perhaps I'll come tomorrow.","Useful Expressions","A1.3"
"natürlich","","adv","naturally / of course","Natürlich helfe ich dir.","Of course I'll help you.","Useful Expressions","A1.3"
"sicher","","adj/adv","sure / certain / safe","Ich bin sicher, dass das stimmt.","I'm sure that is correct.","Useful Expressions","A1.3"
"gleich","","adv","right away / soon / straight","Ich komme gleich.","I'll be right there.","Useful Expressions","A1.3"
"noch einmal","","phrase","once more / again","Können Sie das noch einmal sagen?","Can you say that again?","Useful Expressions","A1.3"
"ein bisschen","","phrase","a little bit","Ich spreche ein bisschen Deutsch.","I speak a little German.","Useful Expressions","A1.3"
"Ahnung","die","noun","idea / clue","Ich habe keine Ahnung!","I have no idea!","Useful Expressions","A1.3"
"Vorsicht","die","noun/interj","caution / careful!","Vorsicht! Der Boden ist nass.","Careful! The floor is wet.","Useful Expressions","A1.3"
"Schluss","der","noun","end / finish","Wir müssen jetzt Schluss machen.","We need to finish now.","Useful Expressions","A1.3"
"halb","","adj/adv","half","Es ist halb drei.","It is half past two.","Useful Expressions","A1.3"
"ganz","","adj/adv","whole / quite / completely","Das Haus ist ganz schön.","The house is quite nice.","Useful Expressions","A1.3"
"genug","","adj/adv","enough","Ich habe genug gegessen.","I have eaten enough.","Useful Expressions","A1.3"
"so","","adv","so / like that / this way","Machen Sie es so.","Do it like this.","Useful Expressions","A1.3"
"Körper","der","noun","body","Sport ist gut für den Körper.","Sport is good for the body.","Body","A1.3"
"Kopf","der","noun","head","Ich habe Kopfschmerzen.","I have a headache.","Body","A1.1"
"Gesicht","das","noun","face","Sie hat ein schönes Gesicht.","She has a beautiful face.","Body","A1.3"
"Auge","das","noun","eye","Das Auge ist blau.","The eye is blue.","Body","A1.1"
"Augen","die","noun (pl)","eyes","Ihre Augen sind braun.","Her eyes are brown.","Body","A1.1"
"Ohr","das","noun","ear","Das Ohr tut weh.","The ear hurts.","Body","A1.3"
"Ohren","die","noun (pl)","ears","Die Ohren sind kalt.","The ears are cold.","Body","A1.3"
"Nase","die","noun","nose","Meine Nase ist rot.","My nose is red.","Body","A1.3"
"Mund","der","noun","mouth","Mach den Mund auf.","Open your mouth.","Body","A1.3"
"Zahn","der","noun","tooth","Der Zahn tut weh.","The tooth hurts.","Body","A1.3"
"Zähne","die","noun (pl)","teeth","Ich putze meine Zähne.","I brush my teeth.","Body","A1.3"
"Hals","der","noun","neck / throat","Mein Hals tut weh.","My throat hurts.","Body","A1.3"
"Schulter","die","noun","shoulder","Die Schulter ist verletzt.","The shoulder is injured.","Body","A1.3"
"Schultern","die","noun (pl)","shoulders","Die Schultern tun weh.","The shoulders hurt.","Body","A1.3"
"Arm","der","noun","arm","Ich habe meinen Arm gebrochen.","I broke my arm.","Body","A1.3"
"Arme","die","noun (pl)","arms","Meine Arme sind müde.","My arms are tired.","Body","A1.3"
"Hand","die","noun","hand","Gib mir deine Hand.","Give me your hand.","Body","A1.1"
"Hände","die","noun (pl)","hands","Wasch deine Hände!","Wash your hands!","Body","A1.1"
"Finger","der","noun","finger","Ich habe mir den Finger verletzt.","I hurt my finger.","Body","A1.3"
"Finger","die","noun (pl)","fingers","Ich habe zehn Finger.","I have ten fingers.","Body","A1.3"
"Bein","das","noun","leg","Das Bein tut weh.","The leg hurts.","Body","A1.3"
"Beine","die","noun (pl)","legs","Meine Beine sind müde.","My legs are tired.","Body","A1.3"
"Fuß","der","noun","foot","Mein Fuß ist müde.","My foot is tired.","Body","A1.1"
"Füße","die","noun (pl)","feet","Meine Füße sind kalt.","My feet are cold.","Body","A1.1"
"Bauch","der","noun","stomach / belly","Mein Bauch tut weh.","My stomach hurts.","Body","A1.3"
"Rücken","der","noun","back","Mein Rücken schmerzt.","My back hurts.","Body","A1.3"
"Herz","das","noun","heart","Das Herz schlägt schnell.","The heart beats quickly.","Body","A1.3"
"Haare","die","noun (pl)","hair","Sie hat lange Haare.","She has long hair.","Body","A1.3"
"in","","prep","in / into","Ich bin in der Küche.","I am in the kitchen.","Prepositions","A1.1"
"an","","prep","at / on / to","Ich bin am Bahnhof.","I am at the train station.","Prepositions","A1.2"
"auf","","prep","on / onto","Das Buch liegt auf dem Tisch.","The book is on the table.","Prepositions","A1.1"
"mit","","prep","with","Ich fahre mit dem Bus.","I travel by bus.","Prepositions","A1.1"
"ohne","","prep","without","Kaffee ohne Milch, bitte.","Coffee without milk, please.","Prepositions","A1.2"
"für","","prep","for","Das ist für Sie.","That is for you.","Prepositions","A1.1"
"von","","prep","from / of","Ich komme von der Arbeit.","I'm coming from work.","Prepositions","A1.1"
"zu","","prep","to / at","Ich gehe zum Arzt.","I'm going to the doctor.","Prepositions","A1.1"
"bei","","prep","at / near / with","Ich wohne bei meinen Eltern.","I live with my parents.","Prepositions","A1.1"
"nach","","prep","to / after / according to","Ich fahre nach Berlin.","I'm travelling to Berlin.","Prepositions","A1.3"
"aus","","prep","from / out of","Ich komme aus Deutschland.","I come from Germany.","Prepositions","A1.3"
"über","","prep","over / above / about","Wir sprechen über das Wetter.","We're talking about the weather.","Prepositions","A1.3"
"unter","","prep","under / below","Die Katze sitzt unter dem Tisch.","The cat is sitting under the table.","Prepositions","A1.3"
"neben","","prep","next to","Das Café ist neben dem Bahnhof.","The café is next to the train station.","Prepositions","A1.3"
"vor","","prep","in front of / before","Ich warte vor dem Eingang.","I'm waiting in front of the entrance.","Prepositions","A1.3"
"hinter","","prep","behind","Der Garten ist hinter dem Haus.","The garden is behind the house.","Prepositions","A1.3"
"zwischen","","prep","between","Die Bank ist zwischen der Post und dem Supermarkt.","The bank is between the post office and the supermarket.","Prepositions","A1.3"
"durch","","prep","through","Wir gehen durch den Park.","We walk through the park.","Prepositions","A1.3"
"gegen","","prep","against / around (time)","Ich komme gegen drei Uhr.","I'll come around three o'clock.","Prepositions","A1.3"
"seit","","prep","since / for (time)","Ich lerne seit einem Jahr Deutsch.","I have been learning German for a year.","Prepositions","A1.3"
"bis","","prep","until / up to","Das Geschäft ist bis 20 Uhr offen.","The shop is open until 8 pm.","Prepositions","A1.3"
"ab","","prep","from (time/place)","Ab morgen lerne ich mehr.","From tomorrow I'll study more.","Prepositions","A1.3"
"um","","prep","at (time) / around / for","Der Kurs beginnt um neun Uhr.","The course starts at nine o'clock.","Prepositions","A1.3"
